"Thématiques","Critères","Page d’accueil","Page utilisateur connecté","Page déconnexion"
"13","1","na","nc|Le test 13.1.4 échoue. ""Pour chaque page web, chaque procédé limitant le temps d’une session vérifie-t-il une de ces conditions : l’utilisateur peut supprimer la limite de temps ; l’utilisateur peut augmenter la limite de temps ; la limite de temps avant la fin de la session est de vingt heures au moins.""","na"
"13","2","c","c","c"
"13","3","na","nc|L'attestation de vaccination téléchargée est un document PDF non accessible","na"
"13","4","na","na","na"
"13","5","na","na","na"
"13","6","na","na","na"
"13","7","na","na","na"
"13","8","na","na","na"
"13","9","c","c","c"
"13","10","c","c","c"
"13","11","c","c","c"
"13","12","na","na","na"
